,0,1,2,3,4,5,6,7,8,9,-,(,),+,A,alpha,b,c,d,delta,e,f,/,G,>,H,infinity,integral,k,l,<,M,N,not equal,o,p,pi,q,R,S,sigma,square root,sum,T,theta,u,v,w,x,y,z
0,381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,5,0,0,1,1,0,7,2,271,0,3,0,1,0,0,1,1,0,0,3,5,1,0,0,1
1,0,1961,2,0,0,0,0,15,0,25,0,99,57,1,1,0,0,0,3,0,0,0,325,0,0,10,0,3,0,27,0,0,73,0,0,0,0,39,7,1,0,0,1,0,0,2,0,0,0,0,0
2,11,3,2024,1,5,0,0,13,1,4,7,0,19,4,32,6,2,4,8,2,30,0,0,3,67,1,2,0,2,81,14,0,0,5,2,0,3,3,5,2,0,0,36,0,0,4,3,0,5,3,197
3,11,1,1,951,11,1,0,4,4,21,0,0,8,0,1,0,2,1,2,0,6,1,0,19,5,0,1,1,1,0,6,0,0,0,1,0,0,5,0,12,1,0,0,0,1,0,0,0,0,4,7
4,0,6,0,2,604,1,4,19,1,40,1,0,0,4,4,1,1,0,2,4,0,3,0,0,0,9,1,0,3,1,6,0,0,1,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,5,3
5,2,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,1,0,6,0,0,0,0,0,0,0,0,1,0,4,67,6,5,0,0,1,0,1,0,0,0,1
6,0,0,2,0,0,0,273,0,1,0,0,0,0,0,1,3,22,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,5,0,0,278,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
8,0,1,0,0,0,0,2,1,282,2,0,0,0,2,0,0,4,0,0,0,0,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
9,0,0,0,6,0,0,0,0,1,297,0,0,0,0,6,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,0,0,3,0,0,0,0,4,0
-,0,2,1,0,2,0,0,0,0,0,3351,1,0,0,0,0,0,0,0,0,0,6,7,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,1,23,0,0,0,0,0,0,0,0,0
(,0,62,0,0,0,0,0,0,0,0,0,1309,0,0,0,0,0,17,0,0,0,0,10,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
),0,10,0,0,0,0,0,0,0,0,0,0,1403,0,0,0,0,0,0,0,0,0,8,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
+,0,8,3,0,2,0,0,8,0,2,12,0,0,2331,0,11,5,0,17,0,0,15,0,2,0,4,12,0,0,3,0,1,1,7,0,12,7,7,4,0,0,5,0,28,0,1,0,0,2,0,1
A,13,5,9,6,7,1,0,7,0,5,0,0,0,1,970,30,1,6,7,1,3,0,0,6,1,27,30,0,2,1,1,6,12,0,12,0,2,1,0,0,1,0,0,0,6,13,3,30,5,1,4
alpha,0,0,0,0,1,0,0,0,0,0,0,0,0,0,16,210,2,0,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0
b,5,3,0,4,13,0,17,0,2,0,0,0,0,0,0,0,738,0,2,0,3,4,1,1,0,30,2,0,2,21,0,0,3,0,0,0,0,0,2,1,1,0,0,2,4,0,1,0,1,1,1
c,19,0,1,0,1,0,2,0,0,0,0,12,0,0,0,0,2,496,0,0,4,0,0,0,0,0,4,0,0,6,16,0,0,1,7,0,0,0,3,0,1,1,0,0,0,3,1,0,0,0,0
d,1,2,0,0,0,0,1,0,0,0,0,1,0,0,2,15,3,0,439,0,0,2,0,0,0,2,0,1,1,6,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,0
delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,276,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0
f,0,3,0,0,1,0,0,6,1,0,0,1,0,3,6,0,0,0,0,0,0,306,0,0,0,1,0,5,1,1,0,0,0,0,0,22,0,3,10,0,0,0,0,0,0,1,0,0,0,0,0
/,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G,7,0,0,0,3,0,2,0,6,4,0,0,0,1,0,0,2,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,1,0,0,0,2,0,0,0,0,14,0
>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,34,0,1,0,0,0,1,0,0,64,0,0,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
infinity,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
integral,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
k,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,16,0,0,254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
l,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,7,0,0,0,0,0,0,66,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,217,16,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
N,4,6,0,0,7,0,0,0,0,1,0,0,0,0,13,1,2,0,0,0,0,0,0,0,0,54,6,0,0,0,0,144,799,0,0,1,13,1,8,0,0,1,0,0,0,8,7,10,0,0,0
not equal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
